area_id,gp_patients,gp_patients_diabetes,estimated_diabetes_prevalence
E05000026,13136,1068,8.1
E05000027,8954,631,7
E05000028,12032,958,8
E05000029,8853,700,7.9
E05000030,8813,640,7.3
E05000031,10340,814,7.9
E05000032,10212,775,7.6
E05000033,9597,734,7.6
E05000034,9334,700,7.5
E05000035,9990,908,9.1
E05000036,8962,647,7.2
E05000037,8185,651,8
E05000038,9562,697,7.3
E05000039,10623,805,7.6
E05000040,9292,757,8.1
E05000041,8897,659,7.4
E05000042,9346,745,8
E05000043,14187,981,6.9
E05000044,17117,1282,7.5
E05000045,18820,906,5.1
E05000046,19742,1358,6.9
E05000047,15021,948,6.3
E05000048,14012,858,6.2
E05000049,13523,707,5.2
E05000050,15250,1164,7.6
E05000051,14170,844,6
E05000052,12733,583,4.6
E05000053,17942,956,5.4
E05000054,15709,1097,7
E05000055,17619,994,5.6
E05000056,12874,723,5.7
E05000057,16381,955,5.8
E05000058,13837,843,6.1
E05000059,13053,799,6.1
E05000060,13610,731,5.7
E05000061,14798,986,6.7
E05000062,16987,1148,6.8
E05000063,15815,1024,6.5
E05000064,9156,629,6.9
E05000065,10320,815,7.9
E05000066,8962,568,6.4
E05000067,9175,590,6.5
E05000068,8796,618,7
E05000069,9521,645,6.8
E05000070,8712,641,7.4
E05000071,9904,634,6.4
E05000072,9520,613,6.5
E05000073,9340,645,6.9
E05000074,9346,635,6.8
E05000075,9937,790,8
E05000076,9174,618,6.8
E05000077,9101,719,7.9
E05000078,8510,508,6
E05000079,9643,714,7.4
E05000080,9223,717,7.8
E05000081,8953,534,6.2
E05000082,9250,670,7.3
E05000083,9484,582,6.1
E05000084,9649,760,7.9
E05000085,16084,1630,10.1
E05000086,15746,1421,9.1
E05000087,13000,770,6
E05000088,12492,995,8.1
E05000089,14371,1122,7.9
E05000090,13139,1209,9.2
E05000091,16038,1484,9.3
E05000092,13679,1177,8.6
E05000093,11306,1131,10
E05000094,17320,958,5.5
E05000095,15277,878,6
E05000096,11374,1091,9.6
E05000097,14879,1329,9.1
E05000098,13643,830,6.1
E05000099,15523,1630,10.5
E05000100,16106,1610,10
E05000101,14768,1413,9.6
E05000102,16488,1469,9
E05000103,12767,1153,9.3
E05000104,18357,1700,9.3
E05000105,15033,1127,7.6
E05000106,13019,655,5
E05000107,8606,473,5.5
E05000108,14134,764,5.4
E05000109,15647,768,4.9
E05000110,12826,723,5.6
E05000111,13325,686,5.2
E05000112,13790,704,5.1
E05000113,14302,643,4.5
E05000114,13257,891,6.7
E05000115,13981,951,6.8
E05000116,10919,620,5.7
E05000117,4541,252,5.5
E05000118,13121,771,5.9
E05000119,13849,710,5.1
E05000120,14259,692,4.9
E05000121,9030,551,6.1
E05000122,13424,833,6.2
E05000123,15026,892,5.9
E05000124,11565,646,5.6
E05000125,13458,755,5.6
E05000126,8680,417,4.8
E05000127,13149,720,5.5
E05000128,11966,424,3.5
E05000129,13798,341,2.6
